61	0.648	0.618	0.618	0.646	0.648	0.7305	0.5852	0.5852	0.7284	0.7305
62	0.648	0.626	0.626	0.648	0.648	0.7292	0.5859	0.5859	0.7271	0.7292
63	0.578	0.536	0.536	0.578	0.578	0.7268	0.5851	0.5851	0.7248	0.7268
64	0.564	0.56	0.56	0.564	0.564	0.7242	0.5847	0.5847	0.7223	0.7242
65	0.542	0.53	0.53	0.542	0.542	0.7214	0.5838	0.5838	0.7195	0.7214
66	0.574	0.572	0.572	0.572	0.574	0.7192	0.5837	0.5837	0.7172	0.7192
67	0.69	0.658	0.658	0.69	0.69	0.7187	0.5848	0.5848	0.7168	0.7187
68	0.512	0.504	0.504	0.512	0.512	0.7157	0.5836	0.5836	0.7138	0.7157
69	0.654	0.654	0.654	0.654	0.654	0.7148	0.5846	0.5846	0.713	0.7148
70	0.8	0.702	0.702	0.798	0.8	0.716	0.5863	0.5863	0.7142	0.716
71	0.87	0.686	0.686	0.87	0.87	0.7182	0.5877	0.5877	0.7164	0.7182
72	0.736	0.66	0.66	0.74	0.736	0.7184	0.5887	0.5887	0.7167	0.7184
73	0.698	0.638	0.638	0.698	0.698	0.7182	0.5894	0.5894	0.7164	0.7182
74	0.794	0.668	0.668	0.794	0.794	0.7192	0.5904	0.5904	0.7175	0.7192
75	0.804	0.654	0.654	0.798	0.804	0.7203	0.5913	0.5913	0.7186	0.7203
76	0.816	0.548	0.548	0.81	0.816	0.7216	0.5907	0.5907	0.7198	0.7216
77	0.82	0.516	0.516	0.824	0.82	0.7229	0.5897	0.5897	0.7211	0.7229
78	0.758	0.486	0.486	0.75	0.758	0.7233	0.5884	0.5884	0.7215	0.7233
79	0.878	0.406	0.406	0.88	0.878	0.7253	0.5861	0.5861	0.7235	0.7253
80	0.854	0.522	0.522	0.844	0.854	0.7269	0.5853	0.5853	0.725	0.7269
81	0.806	0.416	0.416	0.822	0.806	0.7279	0.5832	0.5832	0.7262	0.7279
82	0.848	0.448	0.448	0.84	0.848	0.7293	0.5816	0.5816	0.7276	0.7293
83	0.83	0.54	0.54	0.85	0.83	0.7305	0.5811	0.5811	0.7291	0.7305
84	0.836	0.55	0.55	0.836	0.836	0.7318	0.5807	0.5807	0.7303	0.7318
85	0.826	0.52	0.52	0.832	0.826	0.7329	0.58	0.58	0.7315	0.7329
86	0.822	0.582	0.582	0.832	0.822	0.7339	0.58	0.58	0.7327	0.7339
87	0.754	0.684	0.684	0.758	0.754	0.7342	0.5812	0.5812	0.733	0.7342
88	0.702	0.562	0.562	0.704	0.702	0.7338	0.581	0.581	0.7327	0.7338
89	0.812	0.59	0.59	0.816	0.812	0.7347	0.5811	0.5811	0.7336	0.7347
90	0.7884615384615384	0.47435897435897434	0.47435897435897434	0.8076923076923077	0.7884615384615384	0.7353	0.5799	0.5799	0.7344	0.7353
