61	0.802	0.0	0.0	0.802	0.802	0.6449	0.0284	0.0284	0.6407	0.6449
62	0.818	0.0	0.0	0.818	0.818	0.6476	0.0279	0.0279	0.6435	0.6476
63	0.732	0.0	0.0	0.724	0.732	0.649	0.0275	0.0275	0.6448	0.649
64	0.722	0.0	0.0	0.706	0.722	0.6501	0.027	0.027	0.6457	0.6501
65	0.824	0.0	0.0	0.804	0.824	0.6528	0.0266	0.0266	0.6482	0.6528
66	0.748	0.0	0.0	0.718	0.748	0.6542	0.0262	0.0262	0.6492	0.6542
67	0.786	0.0	0.0	0.77	0.786	0.6562	0.0258	0.0258	0.651	0.6562
68	0.804	0.0	0.0	0.792	0.804	0.6584	0.0254	0.0254	0.6531	0.6584
69	0.762	0.0	0.0	0.754	0.762	0.6599	0.0251	0.0251	0.6546	0.6599
70	0.63	0.0	0.0	0.63	0.63	0.6595	0.0247	0.0247	0.6542	0.6595
71	0.742	0.0	0.0	0.74	0.742	0.6606	0.0244	0.0244	0.6554	0.6606
72	0.778	0.0	0.0	0.776	0.778	0.6623	0.024	0.024	0.6571	0.6623
73	0.66	0.0	0.0	0.66	0.66	0.6622	0.0237	0.0237	0.6572	0.6622
74	0.676	0.0	0.0	0.676	0.676	0.6624	0.0234	0.0234	0.6574	0.6624
75	0.778	0.0	0.0	0.778	0.778	0.6639	0.0231	0.0231	0.659	0.6639
76	0.784	0.0	0.0	0.784	0.784	0.6655	0.0228	0.0228	0.6607	0.6655
77	0.588	0.0	0.0	0.588	0.588	0.6645	0.0225	0.0225	0.6597	0.6645
78	0.798	0.0	0.0	0.81	0.798	0.6662	0.0222	0.0222	0.6616	0.6662
79	0.796	0.0	0.0	0.808	0.796	0.6679	0.0219	0.0219	0.6635	0.6679
80	0.66	0.0	0.0	0.674	0.66	0.6678	0.0216	0.0216	0.6636	0.6678
81	0.728	0.0	0.0	0.752	0.728	0.6685	0.0214	0.0214	0.6647	0.6685
